instruction,expected_output
Could you remove all IfcDoor elements from the third floor?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""third floor""}}]}"
Could you remove all IfcWall elements from the living room?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""living room""}}]}"
Please add a new IfcRoof in the basement with height 1.17 meters and width 1.97 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""basement"", ""height"": 1.17, ""width"": 1.97, ""material"": ""glass""}, ""unit"": ""m""}]}"
Please add a new IfcRoof in the basement with height 2.05 meters and width 1.36 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""basement"", ""height"": 2.05, ""width"": 1.36, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Please add a new IfcRoof in the bathroom with height 1.84 meters and width 1.36 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""bathroom"", ""height"": 1.84, ""width"": 1.36, ""material"": ""glass""}, ""unit"": ""m""}]}"
Please add a new IfcRoof in the bathroom with height 1.11 meters and width 1.59 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""bathroom"", ""height"": 1.11, ""width"": 1.59, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcRoof in the hallway to height 2.17 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""hallway"", ""height"": 2.17}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWall in the second floor to height 1.53 meters?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.53}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWindow in the hallway to height 1.38 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""hallway"", ""height"": 1.38}, ""unit"": ""m""}]}"
Could you remove all IfcWall elements from the basement?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""basement""}}]}"
Would it be possible to update the IfcDoor in the main entrance to height 1.61 meters?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""location"": ""main entrance"", ""height"": 1.61}, ""unit"": ""m""}]}"
Could you remove all IfcDoor elements from the kitchen?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Please add a new IfcWall in the living room with height 1.79 meters and width 1.53 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""living room"", ""height"": 1.79, ""width"": 1.53, ""material"": ""glass""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcRoof in the attic to height 1.68 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""attic"", ""height"": 1.68}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWindow in the living room to height 1.3 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""living room"", ""height"": 1.3}, ""unit"": ""m""}]}"
Could you remove all IfcDoor elements from the kitchen?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Would it be possible to update the IfcDoor in the bathroom to height 1.96 meters?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""location"": ""bathroom"", ""height"": 1.96}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWindow in the bathroom to height 1.48 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""bathroom"", ""height"": 1.48}, ""unit"": ""m""}]}"
Could you remove all IfcDoor elements from the bathroom?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""bathroom""}}]}"
Could you remove all IfcRoof elements from the third floor?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""third floor""}}]}"
Would it be possible to update the IfcWindow in the main entrance to height 1.84 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""main entrance"", ""height"": 1.84}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWindow in the living room to height 1.61 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""living room"", ""height"": 1.61}, ""unit"": ""m""}]}"
Could you remove all IfcWindow elements from the hallway?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""hallway""}}]}"
Could you remove all IfcWall elements from the kitchen?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Could you remove all IfcRoof elements from the kitchen?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Please add a new IfcDoor in the bathroom with height 1.87 meters and width 1.91 meters.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""bathroom"", ""height"": 1.87, ""width"": 1.91, ""material"": ""wood""}, ""unit"": ""m""}]}"
Please add a new IfcWall in the kitchen with height 2.45 meters and width 0.86 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 2.45, ""width"": 0.86, ""material"": ""glass""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWall in the bathroom to height 1.35 meters?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""modify"", ""target_properties"": {""location"": ""bathroom"", ""height"": 1.35}, ""unit"": ""m""}]}"
Would it be possible to update the IfcRoof in the hallway to height 1.04 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""hallway"", ""height"": 1.04}, ""unit"": ""m""}]}"
Please add a new IfcRoof in the bathroom with height 2.03 meters and width 1.26 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""bathroom"", ""height"": 2.03, ""width"": 1.26, ""material"": ""aluminum""}, ""unit"": ""m""}]}"
Please add a new IfcDoor in the hallway with height 2.01 meters and width 1.69 meters.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""hallway"", ""height"": 2.01, ""width"": 1.69, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Please add a new IfcWindow in the basement with height 1.72 meters and width 1.21 meters.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""basement"", ""height"": 1.72, ""width"": 1.21, ""material"": ""steel""}, ""unit"": ""m""}]}"
Could you remove all IfcWall elements from the hallway?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""hallway""}}]}"
Could you remove all IfcDoor elements from the second floor?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""second floor""}}]}"
Would it be possible to update the IfcRoof in the second floor to height 2.27 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""second floor"", ""height"": 2.27}, ""unit"": ""m""}]}"
Would it be possible to update the IfcWindow in the attic to height 2.39 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""attic"", ""height"": 2.39}, ""unit"": ""m""}]}"
Could you remove all IfcWindow elements from the basement?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""basement""}}]}"
Please add a new IfcWall in the second floor with height 1.31 meters and width 1.89 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.31, ""width"": 1.89, ""material"": ""wood""}, ""unit"": ""m""}]}"
Could you remove all IfcRoof elements from the hallway?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""hallway""}}]}"
Please add a new IfcRoof in the second floor with height 1.31 meters and width 1.67 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.31, ""width"": 1.67, ""material"": ""PVC""}, ""unit"": ""m""}]}"
Could you remove all IfcRoof elements from the basement?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""remove"", ""target_properties"": {""location"": ""basement""}}]}"
Would it be possible to update the IfcRoof in the second floor to height 1.58 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.58}, ""unit"": ""m""}]}"
Please add a new IfcDoor in the basement with height 2.0 meters and width 1.95 meters.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""basement"", ""height"": 2.0, ""width"": 1.95, ""material"": ""steel""}, ""unit"": ""m""}]}"
Could you remove all IfcWindow elements from the second floor?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""second floor""}}]}"
Would it be possible to update the IfcRoof in the second floor to height 1.99 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.99}, ""unit"": ""m""}]}"
Could you remove all IfcWindow elements from the main entrance?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""main entrance""}}]}"
Would it be possible to update the IfcWindow in the second floor to height 1.62 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.62}, ""unit"": ""m""}]}"
Could you remove all IfcDoor elements from the basement?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""basement""}}]}"
Please add a new IfcWindow in the hallway with height 1.3 meters and width 1.75 meters.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""hallway"", ""height"": 1.3, ""width"": 1.75, ""material"": ""aluminum""}, ""unit"": ""m""}]}"
Could you remove all IfcWall elements from the basement?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""basement""}}]}"
Would it be possible to update the IfcDoor in the attic to height 1.4 meters?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""modify"", ""target_properties"": {""location"": ""attic"", ""height"": 1.4}, ""unit"": ""m""}]}"
Could you remove all IfcDoor elements from the third floor?,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""remove"", ""target_properties"": {""location"": ""third floor""}}]}"
Could you remove all IfcWall elements from the kitchen?,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""remove"", ""target_properties"": {""location"": ""kitchen""}}]}"
Would it be possible to update the IfcWindow in the hallway to height 1.45 meters?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""modify"", ""target_properties"": {""location"": ""hallway"", ""height"": 1.45}, ""unit"": ""m""}]}"
Please add a new IfcWindow in the second floor with height 1.57 meters and width 1.05 meters.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.57, ""width"": 1.05, ""material"": ""wood""}, ""unit"": ""m""}]}"
Please add a new IfcWindow in the third floor with height 1.61 meters and width 1.23 meters.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor"", ""height"": 1.61, ""width"": 1.23, ""material"": ""glass""}, ""unit"": ""m""}]}"
Please add a new IfcWindow in the second floor with height 1.22 meters and width 1.1 meters.,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""add"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.22, ""width"": 1.1, ""material"": ""steel""}, ""unit"": ""m""}]}"
Please add a new IfcDoor in the main entrance with height 1.13 meters and width 1.88 meters.,"{""element_updates"": [{""type"": ""IfcDoor"", ""action"": ""add"", ""target_properties"": {""location"": ""main entrance"", ""height"": 1.13, ""width"": 1.88, ""material"": ""glass""}, ""unit"": ""m""}]}"
Please add a new IfcWall in the second floor with height 1.29 meters and width 1.31 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""second floor"", ""height"": 1.29, ""width"": 1.31, ""material"": ""glass""}, ""unit"": ""m""}]}"
Please add a new IfcRoof in the third floor with height 2.23 meters and width 1.48 meters.,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""add"", ""target_properties"": {""location"": ""third floor"", ""height"": 2.23, ""width"": 1.48, ""material"": ""wood""}, ""unit"": ""m""}]}"
Could you remove all IfcWindow elements from the attic?,"{""element_updates"": [{""type"": ""IfcWindow"", ""action"": ""remove"", ""target_properties"": {""location"": ""attic""}}]}"
Please add a new IfcWall in the kitchen with height 1.75 meters and width 1.28 meters.,"{""element_updates"": [{""type"": ""IfcWall"", ""action"": ""add"", ""target_properties"": {""location"": ""kitchen"", ""height"": 1.75, ""width"": 1.28, ""material"": ""steel""}, ""unit"": ""m""}]}"
Would it be possible to update the IfcRoof in the bathroom to height 2.38 meters?,"{""element_updates"": [{""type"": ""IfcRoof"", ""action"": ""modify"", ""target_properties"": {""location"": ""bathroom"", ""height"": 2.38}, ""unit"": ""m""}]}"
